daily_steps,sleep_hours,stress_level,mood_score,diet_quality
8493,5.8,2.2,9.8,good
7223,6.2,1.0,10.0,average
8795,8.1,1.0,10.0,poor
10546,7.9,1.0,10.0,average
7031,7.0,1.1,10.0,average
7031,7.2,2.4,10.0,good
10658,8.9,1.0,10.0,average
9034,6.1,1.0,10.0,average
6561,7.8,1.0,10.0,average
8585,6.7,1.9,10.0,average
6573,6.7,1.8,10.0,good
6568,8.6,1.0,10.0,poor
7983,8.2,1.0,10.0,good
3673,8.2,1.0,10.0,average
4050,9.0,2.1,10.0,good
6375,7.0,1.0,10.0,average
5474,8.0,1.0,10.0,average
8128,6.5,1.5,10.0,good
5683,7.5,1.1,10.0,poor
4675,6.8,1.9,9.4,good
10431,7.1,1.0,10.0,average
7048,7.9,1.0,10.0,poor
7635,5.8,3.6,8.3,average
4650,10.0,1.0,10.0,good
6411,5.5,4.0,7.0,poor
7721,5.2,1.7,9.1,average
5198,8.7,1.0,10.0,average
8251,8.2,1.0,10.0,average
6298,7.9,1.0,10.0,poor
6916,7.9,1.0,10.0,good
6296,7.0,1.0,10.0,good
11204,5.7,2.1,10.0,good
7473,7.1,1.0,10.0,good
5384,6.0,1.8,8.8,poor
9145,8.5,1.0,10.0,good
5058,6.8,1.0,10.0,poor
7917,5.8,2.4,9.3,poor
3580,6.5,2.4,8.1,average
4843,7.6,1.0,10.0,average
7893,6.2,1.0,10.0,good
8976,5.8,1.0,10.0,average
7842,7.4,1.7,10.0,average
7268,7.4,1.0,10.0,average
6897,6.2,1.0,10.0,good
4542,6.3,1.9,8.6,average
6060,7.3,1.0,10.0,average
6578,4.8,1.0,8.7,poor
9614,4.9,1.9,9.6,good
8187,5.9,1.1,10.0,average
3973,6.7,2.7,8.2,average
8148,7.5,1.7,10.0,poor
6729,9.2,1.0,10.0,average
6146,8.3,1.0,10.0,average
8723,6.8,1.0,10.0,average
9561,7.0,2.4,10.0,good
9362,5.5,1.4,10.0,poor
5821,7.0,1.1,10.0,average
6881,6.6,1.1,10.0,good
8162,7.5,1.0,10.0,average
9451,5.8,1.0,10.0,average
6541,7.8,1.0,10.0,average
7128,9.3,1.0,10.0,average
5287,6.8,1.4,10.0,good
5107,7.6,1.0,10.0,average
9125,8.0,1.0,10.0,good
10212,6.4,1.0,10.0,average
7355,7.3,1.0,10.0,average
9507,7.0,1.3,10.0,poor
8223,7.1,1.0,10.0,average
6209,5.8,3.2,7.9,average
8222,7.0,1.5,10.0,good
10576,7.7,1.0,10.0,average
7428,9.2,1.0,10.0,good
10629,8.4,1.0,10.0,poor
2260,10.0,1.0,10.0,good
9143,5.8,1.0,10.0,good
7674,8.3,1.0,10.0,good
6901,7.3,2.2,10.0,good
7683,10.0,1.0,10.0,good
3524,5.8,4.3,5.6,average
7060,5.7,2.6,8.7,poor
8214,6.1,1.0,10.0,poor
10455,3.8,2.2,8.4,good
6463,6.2,2.1,9.4,average
5883,5.9,1.0,9.5,good
6496,7.2,1.3,10.0,average
9330,7.5,1.0,10.0,poor
8157,9.8,1.0,10.0,poor
6440,8.4,1.0,10.0,average
8526,6.1,1.5,10.0,average
7694,5.7,1.4,9.9,average
9437,7.7,1.0,10.0,average
6095,5.0,1.9,7.9,poor
6844,9.7,1.0,10.0,average
